Continent,Region/Country,Product,Variable,Year,Unit,Quantity
America,Brazil,Fresh Grapes,Production,2009,tonnes,1 345 719
America,Brazil,Table Grapes,Production,2009,tonnes, 667 550
America,Brazil,Fresh Grapes,Production,2010,tonnes,1 295 442
America,Brazil,Table Grapes,Production,2010,tonnes, 737 540
America,Brazil,Fresh Grapes,Production,2011,tonnes,1 463 481
America,Brazil,Table Grapes,Production,2011,tonnes, 627 400
America,Brazil,Fresh Grapes,Production,2012,tonnes,1 455 809
America,Brazil,Table Grapes,Production,2012,tonnes, 624 894
America,Brazil,Fresh Grapes,Production,2013,tonnes,1 412 854
America,Brazil,Table Grapes,Production,2013,tonnes, 733 061
America,Brazil,Fresh Grapes,Production,2014,tonnes,1 436 074
America,Brazil,Table Grapes,Production,2014,tonnes, 762 652
America,Brazil,Fresh Grapes,Production,2015,tonnes,1 499 353
America,Brazil,Table Grapes,Production,2015,tonnes, 748 023
America,Brazil,Fresh Grapes,Production,2016,tonnes, 987 059
America,Brazil,Table Grapes,Production,2016,tonnes, 641 436
America,Brazil,Fresh Grapes,Production,2017,tonnes,1 680 020
America,Brazil,Table Grapes,Production,2017,tonnes, 861 237
America,Brazil,Fresh Grapes,Production,2018,tonnes,1 592 242
America,Brazil,Table Grapes,Production,2018,tonnes, 837 464
America,Brazil,Fresh Grapes,Production,2019,tonnes,1 445 705
America,Brazil,Table Grapes,Production,2019,tonnes, 747 660
America,Brazil,Fresh Grapes,Production,2020,tonnes,1 416 398
America,Brazil,Table Grapes,Production,2020,tonnes, 754 578
America,Brazil,Fresh Grapes,Production,2021,tonnes,1 687 908
America,Brazil,Table Grapes,Production,2021,tonnes, 881 603
America,Brazil,Fresh Grapes,Production,2022,tonnes,1 502 357
America,Brazil,Table Grapes,Production,2022,tonnes, 786 331
America,Brazil,Wine,Production,2009,1000 hl, 2 720
America,Brazil,Wine,Production,2010,1000 hl, 2 459
America,Brazil,Wine,Production,2011,1000 hl, 3 460
America,Brazil,Wine,Production,2012,1000 hl, 2 967
America,Brazil,Wine,Production,2013,1000 hl, 2 710
America,Brazil,Wine,Production,2014,1000 hl, 2 810
America,Brazil,Wine,Production,2015,1000 hl, 2 699
America,Brazil,Wine,Production,2016,1000 hl, 1 257
America,Brazil,Wine,Production,2017,1000 hl, 3 553
America,Brazil,Wine,Production,2018,1000 hl, 3 084
America,Brazil,Wine,Production,2019,1000 hl, 2 176
America,Brazil,Wine,Production,2020,1000 hl, 2 257
America,Brazil,Wine,Production,2021,1000 hl, 2 928
America,Brazil,Wine,Production,2022,1000 hl, 3 200
America,Brazil,Wine,Production,2023,1000 hl, 3 587
